,from,to,human_ligand,human_receptor
3,AMEX60DDU001005418,AMEX60DD055040,SEMA3F,NRP2
5,AMEX60DD030506,AMEX60DD053102,HEBP1,ADRA2A
6,AMEX60DD030506,AMEX60DD049589,HEBP1,MTNR1A
9,AMEX60DD007589,AMEX60DD022047,DCN,EGFR
11,AMEX60DD007589,AMEX60DD055396,DCN,ERBB4
28,AMEX60DD006587,AMEX60DD027855,FGF4,FGFR4
29,AMEX60DD006587,AMEX60DD002586,FGF4,FGFR1
30,AMEX60DD006587,AMEX60DD046037,FGF4,FGFR3
32,AMEX60DD002716,AMEX60DD022047,ST6GAL1,EGFR
33,AMEX60DD030673,AMEX60DD002483,NTN1,UNC5D
34,AMEX60DD030673,AMEX60DD051903,NTN1,UNC5B
35,AMEX60DD030673,AMEX60DD041771,NTN1,DCC
36,AMEX60DD030673,AMEX60DD027843,NTN1,UNC5A
37,AMEX60DD030673,AMEX60DD054777,NTN1,ADORA2B
38,AMEX60DD030673,AMEX60DD044041,NTN1,UNC5C
39,AMEX60DD030673,AMEX60DD003881,NTN1,NEO1
52,AMEX60DD045469,AMEX60DD027855,FGF20,FGFR4
53,AMEX60DD045469,AMEX60DD002586,FGF20,FGFR1
54,AMEX60DD045469,AMEX60DD046037,FGF20,FGFR3
57,AMEX60DD036933,AMEX60DDU001023170,EFNB1,EPHB6
58,AMEX60DD036933,AMEX60DD012724,EFNB1,EPHB4
59,AMEX60DD036933,AMEX60DD010312,EFNB1,ERBB2
60,AMEX60DD036933,AMEX60DD002331,EFNB1,EPHB1
61,AMEX60DD036933,AMEX60DD001552,EFNB1,EPHB3
62,AMEX60DD036933,AMEX60DD052063,EFNB1,EPHB2
63,AMEX60DD036933,AMEX60DD002422,EFNB1,EPHA4
70,AMEX60DD052160,AMEX60DD056076,VCL,ITGB5
71,AMEX60DD052160,AMEX60DD011957,VCL,ALK
72,AMEX60DD013511,AMEX60DD033914,EFNA2,EPHA7
73,AMEX60DD013511,AMEX60DD005849,EFNA2,EPHA10
75,AMEX60DD013511,AMEX60DD026309,EFNA2,EPHA1
76,AMEX60DD013511,AMEX60DD043966,EFNA2,EPHA5
