"","from","to","source","database"
"1","Cxcl1","Cxcr2","kegg_cytokines","kegg"
"2","Cxcl2","Cxcr2","kegg_cytokines","kegg"
"3","Cxcl5","Cxcr2","kegg_cytokines","kegg"
"4","Ppbp","Cxcr2","kegg_cytokines","kegg"
"5","Cxcl9","Cxcr3","kegg_cytokines","kegg"
"6","Cxcl10","Cxcr3","kegg_cytokines","kegg"
"7","Cxcl11","Cxcr3","kegg_cytokines","kegg"
"8","Cxcl12","Cxcr4","kegg_cytokines","kegg"
"9","Cxcl13","Cxcr5","kegg_cytokines","kegg"
"10","Cxcl16","Cxcr6","kegg_cytokines","kegg"
"11","Xcl1","Xcr1","kegg_cytokines","kegg"
"12","Cx3cl1","Cx3cr1","kegg_cytokines","kegg"
"13","Ccl20","Ccr6","kegg_cytokines","kegg"
"14","Ccl25","Ccr9","kegg_cytokines","kegg"
"15","Ccl17","Ccr4","kegg_cytokines","kegg"
"16","Ccl22","Ccr4","kegg_cytokines","kegg"
"17","Ccl19","Ccr7","kegg_cytokines","kegg"
"18","Ccl21a","Ccr7","kegg_cytokines","kegg"
"19","Ccl12","Ccr2","kegg_cytokines","kegg"
"20","Ccl2","Ccr2","kegg_cytokines","kegg"
"21","Ccl2","Ccr3","kegg_cytokines","kegg"
"22","Ccl7","Ccr2","kegg_cytokines","kegg"
"23","Ccl7","Ccr1","kegg_cytokines","kegg"
"24","Ccl5","Ccr5","kegg_cytokines","kegg"
"25","Ccl5","Ccr1","kegg_cytokines","kegg"
"26","Ccl5","Ccr3","kegg_cytokines","kegg"
"27","Ccl8","Ccr3","kegg_cytokines","kegg"
"28","Ccl11","Ccr3","kegg_cytokines","kegg"
"29","Ccl24","Ccr3","kegg_cytokines","kegg"
"30","Ccl26","Ccr3","kegg_cytokines","kegg"
"31","Ccl28","Ccr3","kegg_cytokines","kegg"
"32","Ccl28","Ccr10","kegg_cytokines","kegg"
"33","Gm13306","Ccr10","kegg_cytokines","kegg"
"34","Il6","Il6st","kegg_cytokines","kegg"
"35","Il6","Il6ra","kegg_cytokines","kegg"
"36","Il11","Il11ra1","kegg_cytokines","kegg"
"37","Il11","Il6st","kegg_cytokines","kegg"
"38","Osm","Lifr","kegg_cytokines","kegg"
"39","Osm","Il6st","kegg_cytokines","kegg"
"40","Osm","Osmr","kegg_cytokines","kegg"
"41","Lif","Lifr","kegg_cytokines","kegg"
"42","Lif","Il6st","kegg_cytokines","kegg"
"43","Cntf","Cntfr","kegg_cytokines","kegg"
"44","Cntf","Lifr","kegg_cytokines","kegg"
"45","Cntf","Il6st","kegg_cytokines","kegg"
"46","Clcf1","Cntfr","kegg_cytokines","kegg"
"47","Clcf1","Lifr","kegg_cytokines","kegg"
"48","Clcf1","Il6st","kegg_cytokines","kegg"
"49","Ctf1","Lifr","kegg_cytokines","kegg"
"50","Ctf1","Il6st","kegg_cytokines","kegg"
"51","Csf3","Csf3r","kegg_cytokines","kegg"
"52","Lep","Lepr","kegg_cytokines","kegg"
