,from,to,pathway,database
1,LOC100329520,acvr1ba,-,ENSEMBL_DLRP
2,inhbab,acvr1ba,-,ENSEMBL_DLRP
3,inha,acvr1ba,-,ENSEMBL_DLRP
4,inhbb,acvr1ba,-,ENSEMBL_DLRP
5,bmp15,acvr2ba,-,ENSEMBL_DLRP
6,bmp7a,acvr2ba,-,ENSEMBL_DLRP
7,bmp3,acvr2ba,-,ENSEMBL_DLRP
8,bmp6,acvr2ba,-,ENSEMBL_DLRP
9,inhbb,acvr2ba,-,ENSEMBL_DLRP
10,inha,acvr2ba,-,ENSEMBL_DLRP
11,bmp2a,acvr2ba,-,ENSEMBL_DLRP
12,LOC100329520,acvr2ba,-,ENSEMBL_DLRP
13,bmp5,acvr2ba,-,ENSEMBL_DLRP
14,inhbab,acvr2ba,-,ENSEMBL_DLRP
15,bmp10,acvr2ba,-,ENSEMBL_DLRP
16,bmp4,acvr2ba,-,ENSEMBL_DLRP
17,bmp15,bmpr1aa,-,ENSEMBL_DLRP
18,bmp5,bmpr1aa,-,ENSEMBL_DLRP
19,bmp4,bmpr1aa,-,ENSEMBL_DLRP
20,bmp3,bmpr1aa,-,ENSEMBL_DLRP
21,bmp6,bmpr1aa,-,ENSEMBL_DLRP
22,bmp2a,bmpr1aa,-,ENSEMBL_DLRP
23,bmp7a,bmpr1aa,-,ENSEMBL_DLRP
24,bmp10,bmpr1aa,-,ENSEMBL_DLRP
25,bmp15,bmpr1ba,-,ENSEMBL_DLRP
26,bmp3,bmpr1ba,-,ENSEMBL_DLRP
27,bmp7a,bmpr1ba,-,ENSEMBL_DLRP
28,bmp6,bmpr1ba,-,ENSEMBL_DLRP
29,bmp10,bmpr1ba,-,ENSEMBL_DLRP
30,bmp4,bmpr1ba,-,ENSEMBL_DLRP
31,bmp2a,bmpr1ba,-,ENSEMBL_DLRP
32,bmp5,bmpr1ba,-,ENSEMBL_DLRP
33,bmp3,bmpr2b,-,ENSEMBL_DLRP
34,bmp4,bmpr2b,-,ENSEMBL_DLRP
35,bmp15,bmpr2b,-,ENSEMBL_DLRP
36,bmp5,bmpr2b,-,ENSEMBL_DLRP
37,bmp6,bmpr2b,-,ENSEMBL_DLRP
38,bmp7a,bmpr2b,-,ENSEMBL_DLRP
39,bmp10,bmpr2b,-,ENSEMBL_DLRP
40,bmp2a,bmpr2b,-,ENSEMBL_DLRP
41,il16,dicp3.1,-,ENSEMBL_DLRP
42,m17,cntfr,-,ENSEMBL_DLRP
43,csf1a,si:zfos-1069f5.1,-,ENSEMBL_DLRP
44,csf3b,csf3r,-,ENSEMBL_DLRP
45,btc,egfra,-,ENSEMBL_DLRP
