name,residual,influence,b_nbaths,b_nbeds,b_area,b_age,sq_cc_nbaths,sq_cc_nbeds,sq_cc_area,sq_cc_age
0.000000000000000000e+00,1.598608838705622759e+01,4.821433313818553057e-02,-1.216627822232745615e+01,6.289311328015555702e+00,8.646174581558288552e-02,-5.979641752570021840e-01,4.067381911772732650e+01,2.725789084205989710e+01,6.604256041245551434e-02,6.177973362974621407e-01
1.000000000000000000e+00,7.737168753722930603e+01,6.701371980220198477e-02,1.399105612744748939e+01,-2.152792826860832776e+01,1.491379193530440461e-01,-1.241880482924900608e+00,3.468974145602950188e+01,2.160451281366097476e+01,3.517123213484073252e-02,7.945015151304943846e-01
2.000000000000000000e+00,3.700106875303632847e+01,8.022533575886775514e-02,1.170407780248273433e+01,1.175957355254794834e+01,6.139003137895360923e-02,-5.789382339853910153e-01,3.122332430282770588e+01,2.395692315598032707e+01,4.680699627350515257e-02,6.658269938534838728e-01
3.000000000000000000e+00,-7.171565068643135987e+01,4.881218606553689582e-02,5.356418229495496064e+00,-5.850438216471813035e+01,2.034020101985991869e-01,-2.147007139584758140e-01,2.809299188518728130e+01,1.938242217309053217e+01,3.902099692684350002e-02,3.871459245863419496e-01
4.000000000000000000e+00,-2.037243785428700846e+02,1.455222786883025032e-01,7.728207128910291601e+01,-2.614559918251289083e+00,8.993797210572687661e-02,-2.628700769060416498e+00,2.407806015731658889e+01,1.970587790622132829e+01,2.900966844596634953e-02,5.268323870098846617e-01
5.000000000000000000e+00,1.415510564230334012e+01,7.901960088642581703e-02,-1.880104238279950835e+01,4.258182948767892384e-01,1.402686394037721551e-01,-5.757586840170604292e-01,3.005927116182858683e+01,2.350635743804701150e+01,4.246818236710442340e-02,5.648693783169982385e-01
6.000000000000000000e+00,-4.978769636084652461e+01,9.796550085327776491e-02,-2.060557717718709370e+01,-2.734851216541644447e+01,1.586553590249514534e-01,-7.990626718754410829e-02,3.151195868377800835e+01,2.064690143880343243e+01,3.836294987440759530e-02,5.330101631962191888e-01
7.000000000000000000e+00,7.099378616596970915e+01,2.398760717926258154e-02,2.859201743773743942e+01,-1.059620847362872986e+01,5.586613163274602861e-02,1.199438129605696346e-01,3.037381996916589344e+01,2.281852396251460036e+01,3.984688237663673582e-02,3.744256485366903031e-01
8.000000000000000000e+00,-2.308110754822715194e+01,5.330991054923274464e-02,1.287159537247391761e+01,-1.800504052121407028e+01,9.545863592341530257e-02,-4.789788516211029856e-02,2.885913318071542832e+01,2.075946788150987032e+01,4.242877490955403175e-02,3.809542768943487978e-01
9.000000000000000000e+00,1.260395426519509101e+02,2.420958177296025360e-01,1.169838206741652797e+01,-2.637176775917408733e+00,1.191877133487540819e-01,-1.084109368762258274e+00,2.839583855842190019e+01,2.017217419238728837e+01,3.592556405933746561e-02,7.625184500272678134e-01
1.000000000000000000e+01,2.447846849246117245e+02,5.229509381892840647e-01,6.102878916186609359e+01,-4.364121685209113366e+01,1.357540698701099335e-01,-1.319274400389451429e+00,3.156281168908634172e+01,1.944587616454977308e+01,4.427607525917588716e-02,6.129217078281067321e-01
1.100000000000000000e+01,3.156216299334452913e+01,3.919260040343007512e-02,3.381117524095434135e+01,-5.409258182195870290e+00,4.767354876801041530e-02,-1.024422426880995662e-01,3.142769056691562213e+01,3.068233914255323569e+01,5.474854810585521453e-02,7.033267367034566897e-01
1.200000000000000000e+01,-3.289880534486731278e+01,1.094647790074184807e-01,2.637845610930934726e+01,-1.520243609863499579e+01,2.614903817949754475e-02,1.221041195700044657e+00,3.583823705510102542e+01,2.326351761756688674e+01,6.365250281553171130e-02,9.070677164091391909e-01
1.300000000000000000e+01,5.567460905533770301e+02,5.447013192377876678e-02,-8.544594759910351911e+01,1.447517848107665372e+01,2.943872182088949074e-01,-2.053776414049658161e+00,2.640033396389022613e+01,1.810916571522343688e+01,2.992106294736272473e-02,4.470775234259500297e-01
1.400000000000000000e+01,4.062689947429715431e+01,5.691759605427122032e-02,2.915636644921595177e+01,-3.445925917555832108e+00,4.272070761921177573e-02,1.584410544242137453e-02,4.514557033743265890e+01,2.124511279220036997e+01,6.485970971796191364e-02,5.627962392624793475e-01
1.500000000000000000e+01,2.041930910101727648e+01,3.530436698560837638e-02,1.037696812008687353e+01,-3.401167687047536248e+00,9.199655061511902154e-02,-6.392366191306660950e-01,2.845645753628513930e+01,1.835874121183785945e+01,4.402758780913678532e-02,5.576817633986552725e-01
1.600000000000000000e+01,-2.929771836113050085e+02,6.152517929542169334e-02,2.099088302316314980e+02,-1.171285706901414585e+02,5.282925594415828485e-02,9.538889387958173760e-01,2.429917136990594173e+01,1.980820866578829609e+01,2.248769702308997531e-02,3.970713695454142766e-01
1.700000000000000000e+01,-4.864344290562954143e+00,7.704806526433291558e-02,2.982317564934241005e+01,-1.175713478006760937e+01,1.078929507295998402e-01,-1.197082123380200258e+00,3.272676431743335002e+01,2.449273491676158443e+01,3.164637263534817585e-02,9.493670467729491413e-01
1.800000000000000000e+01,-9.002273280815064993e+01,1.095627760345007362e-01,-5.456037024083341436e+01,-8.840687602937434164e+00,2.015749199179770745e-01,-1.030698972456997708e+00,2.648635508681886108e+01,1.751555365267970288e+01,3.251851977121798798e-02,4.276429704623800343e-01
1.900000000000000000e+01,4.171963033734044757e+00,5.173031394042204578e-02,-2.904431590192320556e+00,-1.996875101883428272e+01,1.615405482178266516e-01,-7.366941066725746223e-01,2.812071829797676159e+01,2.384359280863067809e+01,4.173414834893350578e-02,8.379981809724037500e-01
2.000000000000000000e+01,3.041450640939260666e+02,1.785235296954168493e-01,3.409732966065372572e+00,2.534916583756039010e+00,1.012267506740827383e-01,-4.840638070523152203e-01,3.370602990249672359e+01,2.244148147397798709e+01,3.558438596276257415e-02,4.849727582712548557e-01
2.100000000000000000e+01,-2.911599476959489152e+01,4.056996819212496663e-02,6.575159189705540541e+01,-1.007792391297112822e+01,3.330678414884387373e-02,-3.767819440884107030e-01,3.398154414688886504e+01,2.042288040455931863e+01,3.934457178143947742e-02,5.796016884046697459e-01
2.200000000000000000e+01,3.291596576088912229e+01,4.516954957209949606e-02,-2.171518698515565404e+01,8.861577748759351891e+00,1.241604722283751738e-01,-8.523611047871688662e-01,2.613510473294271463e+01,2.458281483712931603e+01,3.680270340726964073e-02,7.501567937877109404e-01
2.300000000000000000e+01,8.239734480251493665e+01,2.630013618420366794e-02,3.618320047472158052e+01,-5.075494720575443353e+01,1.750744900789190373e-01,-3.881696315715923440e-01,2.057767612164432691e+01,2.043095933150329202e+01,2.389750300955861828e-02,6.153305646583535626e-01
2.400000000000000000e+01,-1.342769515844094030e+01,1.911972635803791953e-01,9.285518735123886813e+00,1.870568359998399544e+00,7.364397535699944430e-02,-3.170827113029907052e-01,3.928677984103158138e+01,2.526719604427885457e+01,6.926192433333767939e-02,3.790639823976619804e-01
2.500000000000000000e+01,-8.450666696713797421e+01,9.280673984022785872e-02,-2.515580081730262663e+01,1.399118862505185135e+00,1.081601349409851975e-01,-1.785955620353877060e-01,3.484740621065689226e+01,1.926092221280094563e+01,5.284895868191149398e-02,4.099263874950548892e-01
2.600000000000000000e+01,-7.644705876609735640e+01,1.487877623869970078e-01,-6.225285927787284379e+01,-2.491058090279926418e+01,2.950656384243311448e-01,-2.533566593581884963e+00,2.603929582530813747e+01,1.873987614360297727e+01,2.918473489838463095e-02,7.353799431739079795e-01
2.700000000000000000e+01,2.963292009912950675e+01,9.084208143600816521e-02,-1.456746878724836414e+01,-1.253496006014056086e+00,1.482185654294985444e-01,-6.466480595380708074e-01,3.452680995335262537e+01,2.637341790956351772e+01,4.999881430419516465e-02,7.571841124424514291e-01
2.800000000000000000e+01,-9.405916311931243001e+01,5.980304835759579080e-02,1.754797989170162609e+01,6.500142521411806484e+00,7.834665238350621563e-02,-9.296864069308126144e-01,3.347552547290425196e+01,2.149551045871198696e+01,4.908198065687897904e-02,6.898266388550244876e-01
2.900000000000000000e+01,2.415051854850536301e+02,1.626304762695260642e-01,1.860535933384808516e+01,-3.040182942151245982e+01,1.847152735426818293e-01,-2.738696956845059205e+00,2.635955211065131820e+01,2.526657993685520154e+01,2.176042032014292166e-02,7.838136589362559858e-01
3.000000000000000000e+01,-1.827732962803304702e+02,1.867615742706066895e-01,7.343301101161522126e+01,1.163450674300701593e+01,8.656548138985559193e-02,-2.966251202466565928e+00,2.248128027285864405e+01,1.878076305299819637e+01,2.757889593446896659e-02,5.241897842538500996e-01
3.100000000000000000e+01,6.193083818409749597e+01,7.293816683926396260e-02,1.838723783606200612e+01,5.582997657515563539e+00,7.434027105913788847e-02,-9.363458243900758537e-01,3.213295770330606871e+01,2.399072529407350629e+01,5.333256324549687927e-02,6.711168779366342152e-01
