"","TF","target"
"1","ABL1","SHC3"
"2","ABL1","STAT5B"
"3","ABL1","CBLB"
"4","ABL1","CBLC"
"5","ABL1","CD55"
"6","ABL1","CRK"
"7","ABL1","CRKL"
"8","ABL1","RAC3"
"9","ABL1","RB1"
"10","ABL1","SHC1"
"11","ABL1","SHC2"
"12","ABL1","SHC4"
"13","ABL1","STAT5A"
"14","ABL1","CBL"
"15","ABL1","EPHA1"
"16","ABL1","EPHA2"
"17","ABL1","EPHA3"
"18","ABL1","EPHA4"
"19","ABL1","EPHA5"
"20","ABL1","EPHA6"
"21","ABL1","EPHA7"
"22","ABL1","EPHA8"
"23","ABL1","EPHB1"
"24","ABL1","EPHB2"
"25","ABL1","EPHB3"
"26","ABL1","EPHB4"
"27","ABL1","EPHB6"
"28","ABL1","GRB2"
"29","ABL1","MYC"
"30","ABL1","NTRK1"
"31","ABL1","NTRK2"
"32","ABL1","NTRK3"
"33","ABL1","RAC1"
"34","ABL1","RAC2"
"35","ABL1","BAX"
"36","ABL1","BCL2"
"37","ABL1","BCL6"
"38","ABL1","CCND2"
"39","ABL1","CDKN1A"
"40","ABL1","CSF1"
"41","ABL1","FOXO3"
"42","ABL1","JUN"
"43","ABL1","PIM1"
"44","ABL1","TP53"
"45","AKT1","hsa-miR-125b"
"46","AKT1","hsa-miR-155"
"47","AKT1","hsa-miR-181c"
"48","AKT1","hsa-miR-22"
"49","AKT2","hsa-miR-22"
"50","AKT3","hsa-miR-22"
"51","APBB1","APP"
"52","APBB1","GMPS"
"53","APC","TBL1Y"
"54","APC","ARHGEF4"
"55","APC","AXIN1"
"56","APC","AXIN2"
"57","APC","CTNNB1"
"58","APC","DVL1"
"59","APC","DVL2"
"60","APC","DVL3"
"61","APC","TBL1XR1"
"62","APC","TBL1X"
"63","APC","AKT1"
"64","APC","AMHR2"
"65","APC","BIRC5"
"66","APC","DLG1"
"67","APC","DNMT1"
"68","APC","F8"
"69","APC","KLF4"
"70","APC","MYC"
"71","APC","NOS2"
"72","APC","ODC1"
"73","APC","PTGS2"
"74","APC","SGK1"
"75","AR","RPE65"
"76","AR","hsa-miR-216a"
"77","AR","VEGFA"
"78","AR","KLK3"
"79","AR","MAPK3"
"80","AR","MAPK1"
"81","AR","HSP90B1"
"82","AR","HSP90AB1"
"83","AR","HSP90AA1"
"84","AR","AR"
"85","AR","ABCB1"
"86","AR","ACAA1"
"87","AR","ACOX1"
"88","AR","ACOX2"
"89","AR","ACPP"
"90","AR","ACSL1"
"91","AR","ADAM28"
"92","AR","ADAMTS3"
"93","AR","ADAMTS4"
"94","AR","ADIPOQ"
"95","AR","ADIPOR1"
"96","AR","ADIPOR2"
"97","AR","AKR1B1"
"98","AR","AKT1"
"99","AR","ALB"
"100","AR","ALPP"
"101","AR","AMH"
"102","AR","ANGPTL4"
"103","AR","APOA1"
"104","AR","APOB"
"105","AR","APOBR"
"106","AR","APOC3"
"107","AR","APOE"
"108","AR","AREG"
"109","AR","ASB2"
"110","AR","ATP2A2"
"111","AR","AVP"
"112","AR","BCL2"
"113","AR","BTF3P11"
"114","AR","C21orf33"
"115","AR","CASP3"
"116","AR","CCND1"
"117","AR","CCND2"
"118","AR","CCNG1"
"119","AR","CD36"
"120","AR","CD38"
"121","AR","CD40"
"122","AR","CD83"
"123","AR","CDH13"
"124","AR","CDK7"
"125","AR","CDKN1A"
"126","AR","CETP"
"127","AR","CITED2"
"128","AR","CPT1A"
"129","AR","CPT1B"
"130","AR","CPT2"
"131","AR","CRABP2"
"132","AR","CYP19A1"
"133","AR","CYP1A1"
"134","AR","CYP26A1"
"135","AR","CYP27A1"
"136","AR","CYP4A11"
"137","AR","CYP7A1"
"138","AR","DBI"
"139","AR","DHRS4"
"140","AR","DRD1"
"141","AR","ECM1"
"142","AR","EDN1"
"143","AR","EGFR"
"144","AR","ELF4"
"145","AR","ELK1"
"146","AR","ESR1"
"147","AR","ESR2"
"148","AR","ETS1"
"149","AR","F9"
"150","AR","FABP1"
"151","AR","FABP3"
"152","AR","FADS2"
"153","AR","FBP2"
"154","AR","FCER1A"
"155","AR","FGB"
"156","AR","FGF13"
"157","AR","FGF2"
"158","AR","FGF8"
"159","AR","FGFBP1"
"160","AR","FGFR1"
"161","AR","FHL2"
"162","AR","FOXA1"
"163","AR","GADD45A"
"164","AR","GADD45B"
"165","AR","GADD45G"
"166","AR","GATA3"
"167","AR","GCK"
"168","AR","GDEP"
"169","AR","GOT1"
"170","AR","GSTP1"
"171","AR","GTF2F1"
"172","AR","H3F3A"
"173","AR","HES1"
"174","AR","HMGCS1"
"175","AR","HMGCS2"
"176","AR","HNF1A"
"177","AR","HNF1B"
"178","AR","HOXA1"
"179","AR","HOXA4"
"180","AR","HOXA7"
"181","AR","HOXB4"
"182","AR","HOXC8"
"183","AR","HOXD4"
"184","AR","HSD11B1"
"185","AR","HSD17B1"
"186","AR","IBSP"
"187","AR","ICAM1"
"188","AR","IFNAR1"
"189","AR","IGFBP5"
"190","AR","IL6ST"
"191","AR","IL8"
"192","AR","INS"
"193","AR","IRAK2"
"194","AR","JUN"
"195","AR","KAT5"
"196","AR","KAT7"
"197","AR","KCNH4"
"198","AR","KCNH8"
"199","AR","KHSRP"
"200","AR","KLF5"
"201","AR","KLK14"
"202","AR","KLK15"
"203","AR","KLK2"
"204","AR","KLKB1"
"205","AR","KRT19"
"206","AR","LCP1"
"207","AR","LIPA"
"208","AR","LIPE"
"209","AR","LPL"
"210","AR","MAP4K2"
"211","AR","MED1"
"212","AR","MIF"
"213","AR","MMP9"
"214","AR","MUC1"
"215","AR","MUC4"
"216","AR","MUC5AC"
"217","AR","MYB"
"218","AR","MYC"
"219","AR","MYCN"
"220","AR","MYH6"
"221","AR","NCOA1"
"222","AR","NCOA2"
"223","AR","NCOA3"
"224","AR","NCOA4"
"225","AR","NCOA6"
"226","AR","NCOR1"
"227","AR","NCOR2"
"228","AR","NEDD9"
"229","AR","NFKBIA"
"230","AR","NKX2-1"
"231","AR","NOL3"
"232","AR","NOX1"
"233","AR","NR1D1"
"234","AR","NR1H3"
"235","AR","NRIP1"
"236","AR","NUDT6"
"237","AR","PCK1"
"238","AR","PDHA1"
"239","AR","PGC"
"240","AR","PIGR"
"241","AR","PKD1"
"242","AR","PLAT"
"243","AR","PLAU"
"244","AR","PML"
"245","AR","PNRC1"
"246","AR","POU1F1"
"247","AR","POU2F1"
"248","AR","POU5F1"
"249","AR","PPARG"
"250","AR","PPARGC1A"
"251","AR","PPBP"
"252","AR","PPP2R2C"
"253","AR","PRKCA"
"254","AR","PTGER2"
"255","AR","PTGS1"
"256","AR","PTGS2"
"257","AR","PTHLH"
"258","AR","RARA"
"259","AR","RARB"
"260","AR","RARG"
"261","AR","RARRES3"
"262","AR","RELA"
"263","AR","RETN"
"264","AR","RNF4"
"265","AR","IL2"
"266","AR","S100A8"
"267","AR","S100A9"
"268","AR","SAT1"
"269","AR","SCARB1"
"270","AR","SCD"
"271","AR","SCGB1D1"
"272","AR","SEMA6B"
"273","AR","SERPINE1"
"274","AR","SERPINF1"
"275","AR","SFTPB"
"276","AR","SLC10A2"
"277","AR","SLC5A5"
"278","AR","SMAD3"
"279","AR","SMARCA1"
"280","AR","SMARCA2"
"281","AR","SMPD1"
"282","AR","SNORD116-1"
"283","AR","SOS1"
"284","AR","STAT3"
"285","AR","STAT5B"
"286","AR","STRA6"
"287","AR","TCF7"
"288","AR","TG"
"289","AR","TGFB1"
"290","AR","TGFB2"
"291","AR","TGM1"
"292","AR","THPO"
"293","AR","TMSB10"
"294","AR","TNFAIP2"
"295","AR","TNFRSF11B"
"296","AR","TNFRSF1B"
"297","AR","TPO"
"298","AR","TRPS1"
"299","AR","UBE3A"
"300","AR","UCP1"
"301","AR","UCP2"
"302","AR","UCP3"
"303","AR","UGT1A10"
"304","AR","UGT2B4"
"305","AR","ZMIZ1"
"306","AR","IL6"
"307","AR","ACTA1"
"308","AR","AKR1C3"
"309","AR","ALDH1A3"
"310","AR","ARG1"
"311","AR","ARG2"
"312","AR","ATAD2"
"313","AR","BSG"
"314","AR","BTG1"
"315","AR","BTG2"
"316","AR","CDK20"
"317","AR","CDC6"
"318","AR","CDH1"
"319","AR","CDH11"
"320","AR","CDH2"
"321","AR","CDK6"
"322","AR","CLK3"
"323","AR","CRH"
"324","AR","CRISP1"
"325","AR","CRISP3"
"326","AR","CTNNB1"
