"","TF","target"
"1","Akt1","mmu-miR-21a-5p"
"2","Ar","H1f0"
"3","Ar","Mttp"
"4","Ar","Ncoa2"
"5","Ar","Nfkb1"
"6","Ar","Nfkbia"
"7","Ar","Ngfr"
"8","Ar","Nos2"
"9","Ar","Nsd1"
"10","Ar","Pcp2"
"11","Ar","Etv4"
"12","Ar","Pltp"
"13","Ar","Pou2f1"
"14","Ar","Acox1"
"15","Ar","Pou3f3"
"16","Ar","Pou5f1"
"17","Ar","Med1"
"18","Ar","Psmc5"
"19","Ar","Pthlh"
"20","Ar","Rara"
"21","Ar","Rbp2"
"22","Ar","Scd1"
"23","Ar","Slc18a3"
"24","Ar","Slc22a1"
"25","Ar","Scarb1"
"26","Ar","Svs6"
"27","Ar","Tgfbr3"
"28","Ar","Tgm1"
"29","Ar","Tgm2"
"30","Ar","Nkx2-1"
"31","Ar","Nr2c1"
"32","Ar","Trh"
"33","Ar","Ucp1"
"34","Ar","Ucp3"
"35","Ar","Tat"
"36","Ar","Nox1"
"37","Ar","Apob"
"38","Ar","Slc27a1"
"39","Ar","Mecr"
"40","Ar","Pdk4"
"41","Ar","Sh2d3c"
"42","Ar","Dhrs4"
"43","Ar","Pbsn"
"44","Ar","Lgals12"
"45","Ar","Angptl4"
"46","Ar","Rqcd1"
"47","Ar","C4a"
"48","Ar","Aurkaip1"
"49","Ar","Grip1"
"50","Ar","Srd5a2"
"51","Ar","Crisp1"
"52","Ar","Crisp3"
"53","Ar","Aip"
"54","Ar","Aldh1a1"
"55","Ar","Apoa2"
"56","Ar","Akr1b7"
"57","Ar","Avp"
"58","Ar","Bcl2"
"59","Ar","C4b"
"60","Ar","Car5a"
"61","Ar","Ctnnb1"
"62","Ar","Cebpb"
"63","Ar","Chat"
"64","Ar","Abcc2"
"65","Ar","Col1a2"
"66","Ar","Cryab"
"67","Ar","Cyp24a1"
"68","Ar","Cyp27b1"
"69","Ar","Cyp7a1"
"70","Ar","Fabp1"
"71","Ar","Acsl1"
"72","Ar","Fli1"
"73","Ar","Flii"
"74","Ar","Gata3"
"75","Ar","Gpx5"
"76","Ar","Hoxa1"
"77","Ar","Hoxa4"
"78","Ar","Hoxa5"
"79","Ar","Hoxb1"
"80","Ar","Hsd11b1"
"81","Ar","Hsp90ab1"
"82","Ar","Lamb1"
"83","Ar","Lpl"
"84","Ar","Mdk"
"85","Ar","Mmp3"
"86","Ar","Cited2"
"87","Ar","Ccr2"
"88","Ar","Cga"
"89","Ar","Fkbp5"
"90","Ar","Foxa1"
"91","Ar","Klkb1"
"92","Ar","Nkx3-1"
"93","Ar","Nr0b1"
"94","Ar","Psat1"
"95","Ar","Runx2"
"96","Ar","Scnn1a"
"97","Ar","Sox2"
"98","Ar","Tnf"
"99","Ar","rsl"
"100","Arnt","Gm5506"
"101","Arnt","Pfkfb4"
"102","Arnt","Nppa"
"103","Arnt","Eno3"
"104","Arnt","Epo"
"105","Arnt","Figf"
"106","Arnt","Flt1"
"107","Arnt","Gapdh"
"108","Arnt","Hk1"
"109","Arnt","Vegfb"
"110","Arnt","Vegfa"
"111","Arnt","Sumo1"
"112","Arnt","Tfrc"
"113","Arnt","Trf"
"114","Arnt","Timp1"
"115","Arnt","Tek"
"116","Arnt","Senp2"
"117","Arnt","Hkdc1"
"118","Arnt","Hk3"
"119","Arnt","Slc2a1"
"120","Arnt","Pdk1"
"121","Arnt","Hk2"
"122","Arnt","Serpine1"
"123","Arnt","Pgk1"
"124","Arnt","Pgf"
"125","Arnt","Hmox1"
"126","Arnt","Ldha"
"127","Arnt","Ltbr"
"128","Arnt","Pfkfb3"
"129","Arnt","Nos2"
"130","Arnt","Pfkl"
"131","Arnt","Nos3"
"132","Arnt","Vegfc"
"133","Arnt","Pfkfb1"
"134","Arnt","Pfkfb2"
"135","Arnt","LOC100042025"
"136","Arnt","LOC100048117"
"137","Arnt","Angpt1"
"138","Arnt","Angpt2"
"139","Arnt","Angpt4"
"140","Arnt","Aldoa"
"141","Arnt","Bcl2"
"142","Arnt","Cdkn1a"
"143","Arnt","Cdkn1b"
"144","Arnt","Edn1"
"145","Arnt","Egf"
"146","Arnt","Eno1"
"147","Arnt","Eno2"
"148","Arnt","Atxn3"
"149","Arnt","Cyp1a1"
"150","Arnt","Cyp1a2"
"151","Arnt","Cyp1b1"
"152","Arnt","E2f2"
"153","Arnt","Sim1"
"154","Arnt","Th"
"155","Arntl","Bhlhe40"
"156","Arntl","Cry1"
"157","Arntl","Cry2"
"158","Arntl","Per1"
"159","Arntl","Per2"
"160","Arntl","Per3"
"161","Arntl","Rora"
"162","Arntl","Rorc"
"163","Arntl","Nr1d1"
"164","Arntl","Rorb"
"165","Arntl","Bhlhe41"
"166","Arntl","Ctnnb1"
"167","Arntl","Cxcl5"
"168","Arntl","Dbp"
"169","Arntl","Maoa"
"170","Arntl","Nfe2l2"
