,TF,target
0,ABL1,SHC3
1,ABL1,STAT5B
2,ABL1,CBLB
3,ABL1,CBLC
4,ABL1,CD55
5,ABL1,CRK
6,ABL1,CRKL
7,ABL1,RAC3
8,ABL1,RB1
9,ABL1,SHC1
10,ABL1,SHC2
11,ABL1,SHC4
12,ABL1,STAT5A
13,ABL1,CBL
14,ABL1,EPHA1
15,ABL1,EPHA2
16,ABL1,EPHA3
17,ABL1,EPHA4
18,ABL1,EPHA5
19,ABL1,EPHA6
20,ABL1,EPHA7
21,ABL1,EPHA8
22,ABL1,EPHB1
23,ABL1,EPHB2
24,ABL1,EPHB3
25,ABL1,EPHB4
26,ABL1,EPHB6
27,ABL1,GRB2
28,ABL1,MYC
29,ABL1,NTRK1
30,ABL1,NTRK2
31,ABL1,NTRK3
32,ABL1,RAC1
33,ABL1,RAC2
34,ABL1,BAX
35,ABL1,BCL2
36,ABL1,BCL6
37,ABL1,CCND2
38,ABL1,CDKN1A
39,ABL1,CSF1
40,ABL1,FOXO3
41,ABL1,JUN
42,ABL1,PIM1
43,ABL1,TP53
44,AKT1,hsa-miR-125b
45,AKT1,hsa-miR-155
46,AKT1,hsa-miR-181c
47,AKT1,hsa-miR-22
48,AKT2,hsa-miR-22
49,AKT3,hsa-miR-22
50,APC,TBL1Y
51,APC,ARHGEF4
52,APC,AXIN1
53,APC,AXIN2
54,APC,CTNNB1
55,APC,DVL1
56,APC,DVL2
57,APC,DVL3
58,APC,TBL1XR1
59,APC,TBL1X
60,APC,AKT1
61,APC,AMHR2
62,APC,BIRC5
63,APC,DLG1
64,APC,DNMT1
65,APC,F8
66,APC,KLF4
67,APC,MYC
68,APC,NOS2
69,APC,ODC1
70,APC,PTGS2
71,APC,SGK1
72,AR,RPE65
73,AR,hsa-miR-216a
74,AR,VEGFA
75,AR,KLK3
76,AR,MAPK3
77,AR,MAPK1
78,AR,HSP90B1
79,AR,HSP90AB1
80,AR,HSP90AA1
81,AR,AR
82,AR,ABCB1
83,AR,ACAA1
84,AR,ACOX1
85,AR,ACOX2
86,AR,ACPP
87,AR,ACSL1
88,AR,ADAM28
89,AR,ADAMTS3
90,AR,ADAMTS4
91,AR,ADIPOQ
92,AR,ADIPOR1
93,AR,ADIPOR2
94,AR,AKR1B1
95,AR,AKT1
96,AR,ALB
97,AR,ALPP
98,AR,AMH
99,AR,ANGPTL4
100,AR,APOA1
101,AR,APOB
102,AR,APOBR
103,AR,APOC3
104,AR,APOE
105,AR,AREG
106,AR,ASB2
107,AR,ATP2A2
108,AR,AVP
109,AR,BCL2
110,AR,BTF3P11
111,AR,C21orf33
112,AR,CASP3
113,AR,CCND1
114,AR,CCND2
115,AR,CCNG1
116,AR,CD36
117,AR,CD38
118,AR,CD40
119,AR,CD83
120,AR,CDH13
121,AR,CDK7
122,AR,CDKN1A
123,AR,CETP
124,AR,CITED2
125,AR,CPT1A
126,AR,CPT1B
127,AR,CPT2
128,AR,CRABP2
129,AR,CYP19A1
130,AR,CYP1A1
131,AR,CYP26A1
132,AR,CYP27A1
133,AR,CYP4A11
134,AR,CYP7A1
135,AR,DBI
136,AR,DHRS4
137,AR,DRD1
138,AR,ECM1
139,AR,EDN1
140,AR,EGFR
141,AR,ELF4
142,AR,ELK1
143,AR,ESR1
144,AR,ESR2
145,AR,ETS1
146,AR,F9
147,AR,FABP1
148,AR,FABP3
149,AR,FADS2
150,AR,FBP2
151,AR,FCER1A
152,AR,FGB
153,AR,FGF13
154,AR,FGF2
155,AR,FGF8
156,AR,FGFBP1
157,AR,FGFR1
158,AR,FHL2
159,AR,FOXA1
160,AR,GADD45A
