,from,to,pathway,type
0,TGFB1,TGFBR1_TGFBR2,TGFb,Secreted Signaling
1,TGFB1,TGFBR1,TGFb,Secreted Signaling
2,TGFB1,TGFBR2,TGFb,Secreted Signaling
3,TGFB2,TGFBR1_TGFBR2,TGFb,Secreted Signaling
4,TGFB2,TGFBR1,TGFb,Secreted Signaling
5,TGFB2,TGFBR2,TGFb,Secreted Signaling
6,TGFB3,TGFBR1_TGFBR2,TGFb,Secreted Signaling
7,TGFB3,TGFBR1,TGFb,Secreted Signaling
8,TGFB3,TGFBR2,TGFb,Secreted Signaling
9,TGFB1,ACVR1B_TGFBR2,TGFb,Secreted Signaling
10,TGFB1,ACVR1B,TGFb,Secreted Signaling
11,TGFB1,TGFBR2,TGFb,Secreted Signaling
12,TGFB1,ACVR1C_TGFBR2,TGFb,Secreted Signaling
13,TGFB1,ACVR1C,TGFb,Secreted Signaling
14,TGFB1,TGFBR2,TGFb,Secreted Signaling
15,TGFB2,ACVR1B_TGFBR2,TGFb,Secreted Signaling
16,TGFB2,ACVR1B,TGFb,Secreted Signaling
17,TGFB2,TGFBR2,TGFb,Secreted Signaling
18,TGFB2,ACVR1C_TGFBR2,TGFb,Secreted Signaling
19,TGFB2,ACVR1C,TGFb,Secreted Signaling
20,TGFB2,TGFBR2,TGFb,Secreted Signaling
21,TGFB3,ACVR1B_TGFBR2,TGFb,Secreted Signaling
22,TGFB3,ACVR1B,TGFb,Secreted Signaling
23,TGFB3,TGFBR2,TGFb,Secreted Signaling
24,TGFB3,ACVR1C_TGFBR2,TGFb,Secreted Signaling
25,TGFB3,ACVR1C,TGFb,Secreted Signaling
26,TGFB3,TGFBR2,TGFb,Secreted Signaling
27,TGFB1,ACVR1_TGFBR1_TGFBR2,TGFb,Secreted Signaling
28,TGFB1,ACVR1,TGFb,Secreted Signaling
29,TGFB1,TGFBR1,TGFb,Secreted Signaling
30,TGFB1,TGFBR2,TGFb,Secreted Signaling
31,TGFB2,ACVR1_TGFBR1_TGFBR2,TGFb,Secreted Signaling
32,TGFB2,ACVR1,TGFb,Secreted Signaling
33,TGFB2,TGFBR1,TGFb,Secreted Signaling
34,TGFB2,TGFBR2,TGFb,Secreted Signaling
35,TGFB3,ACVR1_TGFBR1_TGFBR2,TGFb,Secreted Signaling
36,TGFB3,ACVR1,TGFb,Secreted Signaling
37,TGFB3,TGFBR1,TGFb,Secreted Signaling
38,TGFB3,TGFBR2,TGFb,Secreted Signaling
39,BMP2,BMPR1A_ACVR2A,BMP,Secreted Signaling
40,BMP2,BMPR1A,BMP,Secreted Signaling
41,BMP2,ACVR2A,BMP,Secreted Signaling
42,BMP2,BMPR1A_ACVR2B,BMP,Secreted Signaling
43,BMP2,BMPR1A,BMP,Secreted Signaling
44,BMP2,ACVR2B,BMP,Secreted Signaling
45,BMP2,BMPR1A_BMPR2,BMP,Secreted Signaling
46,BMP2,BMPR1A,BMP,Secreted Signaling
47,BMP2,BMPR2,BMP,Secreted Signaling
48,BMP2,BMPR1B_ACVR2A,BMP,Secreted Signaling
49,BMP2,BMPR1B,BMP,Secreted Signaling
50,BMP2,ACVR2A,BMP,Secreted Signaling
51,BMP2,BMPR1B_ACVR2B,BMP,Secreted Signaling
52,BMP2,BMPR1B,BMP,Secreted Signaling
53,BMP2,ACVR2B,BMP,Secreted Signaling
54,BMP2,BMPR1B_BMPR2,BMP,Secreted Signaling
55,BMP2,BMPR1B,BMP,Secreted Signaling
56,BMP2,BMPR2,BMP,Secreted Signaling
57,BMP4,BMPR1A_ACVR2A,BMP,Secreted Signaling
58,BMP4,BMPR1A,BMP,Secreted Signaling
59,BMP4,ACVR2A,BMP,Secreted Signaling
60,BMP4,BMPR1A_ACVR2B,BMP,Secreted Signaling
61,BMP4,BMPR1A,BMP,Secreted Signaling
62,BMP4,ACVR2B,BMP,Secreted Signaling
63,BMP4,BMPR1A_BMPR2,BMP,Secreted Signaling
64,BMP4,BMPR1A,BMP,Secreted Signaling
65,BMP4,BMPR2,BMP,Secreted Signaling
66,BMP4,BMPR1B_ACVR2A,BMP,Secreted Signaling
67,BMP4,BMPR1B,BMP,Secreted Signaling
68,BMP4,ACVR2A,BMP,Secreted Signaling
69,BMP4,BMPR1B_ACVR2B,BMP,Secreted Signaling
70,BMP4,BMPR1B,BMP,Secreted Signaling
71,BMP4,ACVR2B,BMP,Secreted Signaling
72,BMP4,BMPR1B_BMPR2,BMP,Secreted Signaling
73,BMP4,BMPR1B,BMP,Secreted Signaling
74,BMP4,BMPR2,BMP,Secreted Signaling
75,GDF5,BMPR1A_ACVR2A,BMP,Secreted Signaling
76,GDF5,BMPR1A,BMP,Secreted Signaling
77,GDF5,ACVR2A,BMP,Secreted Signaling
78,GDF5,BMPR1A_ACVR2B,BMP,Secreted Signaling
79,GDF5,BMPR1A,BMP,Secreted Signaling
80,GDF5,ACVR2B,BMP,Secreted Signaling
81,GDF5,BMPR1A_BMPR2,BMP,Secreted Signaling
82,GDF5,BMPR1A,BMP,Secreted Signaling
83,GDF5,BMPR2,BMP,Secreted Signaling
84,GDF5,BMPR1B_ACVR2A,BMP,Secreted Signaling
85,GDF5,BMPR1B,BMP,Secreted Signaling
86,GDF5,ACVR2A,BMP,Secreted Signaling
87,GDF5,BMPR1B_ACVR2B,BMP,Secreted Signaling
88,GDF5,BMPR1B,BMP,Secreted Signaling
89,GDF5,ACVR2B,BMP,Secreted Signaling
90,GDF5,BMPR1B_BMPR2,BMP,Secreted Signaling
91,GDF5,BMPR1B,BMP,Secreted Signaling
92,GDF5,BMPR2,BMP,Secreted Signaling
93,GDF6,BMPR1A_ACVR2A,BMP,Secreted Signaling
94,GDF6,BMPR1A,BMP,Secreted Signaling
95,GDF6,ACVR2A,BMP,Secreted Signaling
96,GDF6,BMPR1A_ACVR2B,BMP,Secreted Signaling
97,GDF6,BMPR1A,BMP,Secreted Signaling
98,GDF6,ACVR2B,BMP,Secreted Signaling
99,GDF6,BMPR1A_BMPR2,BMP,Secreted Signaling
100,GDF6,BMPR1A,BMP,Secreted Signaling
101,GDF6,BMPR2,BMP,Secreted Signaling
102,GDF6,BMPR1B_ACVR2A,BMP,Secreted Signaling
103,GDF6,BMPR1B,BMP,Secreted Signaling
104,GDF6,ACVR2A,BMP,Secreted Signaling
105,GDF6,BMPR1B_ACVR2B,BMP,Secreted Signaling
106,GDF6,BMPR1B,BMP,Secreted Signaling
107,GDF6,ACVR2B,BMP,Secreted Signaling
108,GDF6,BMPR1B_BMPR2,BMP,Secreted Signaling
109,GDF6,BMPR1B,BMP,Secreted Signaling
110,GDF6,BMPR2,BMP,Secreted Signaling
111,GDF7,BMPR1A_ACVR2A,BMP,Secreted Signaling
112,GDF7,BMPR1A,BMP,Secreted Signaling
113,GDF7,ACVR2A,BMP,Secreted Signaling
114,GDF7,BMPR1A_ACVR2B,BMP,Secreted Signaling
115,GDF7,BMPR1A,BMP,Secreted Signaling
116,GDF7,ACVR2B,BMP,Secreted Signaling
117,GDF7,BMPR1A_BMPR2,BMP,Secreted Signaling
118,GDF7,BMPR1A,BMP,Secreted Signaling
119,GDF7,BMPR2,BMP,Secreted Signaling
120,GDF7,BMPR1B_ACVR2A,BMP,Secreted Signaling
121,GDF7,BMPR1B,BMP,Secreted Signaling
122,GDF7,ACVR2A,BMP,Secreted Signaling
123,GDF7,BMPR1B_ACVR2B,BMP,Secreted Signaling
124,GDF7,BMPR1B,BMP,Secreted Signaling
125,GDF7,ACVR2B,BMP,Secreted Signaling
126,GDF7,BMPR1B_BMPR2,BMP,Secreted Signaling
127,GDF7,BMPR1B,BMP,Secreted Signaling
128,GDF7,BMPR2,BMP,Secreted Signaling
129,BMP15,BMPR1B_BMPR2,BMP,Secreted Signaling
130,BMP15,BMPR1B,BMP,Secreted Signaling
131,BMP15,BMPR2,BMP,Secreted Signaling
132,BMP5,ACVR1_ACVR2A,BMP,Secreted Signaling
133,BMP5,ACVR1,BMP,Secreted Signaling
134,BMP5,ACVR2A,BMP,Secreted Signaling
135,BMP5,ACVR1_ACVR2B,BMP,Secreted Signaling
136,BMP5,ACVR1,BMP,Secreted Signaling
137,BMP5,ACVR2B,BMP,Secreted Signaling
138,BMP5,ACVR1_BMPR2,BMP,Secreted Signaling
139,BMP5,ACVR1,BMP,Secreted Signaling
140,BMP5,BMPR2,BMP,Secreted Signaling
141,BMP5,BMPR1A_ACVR2A,BMP,Secreted Signaling
142,BMP5,BMPR1A,BMP,Secreted Signaling
143,BMP5,ACVR2A,BMP,Secreted Signaling
144,BMP5,BMPR1A_ACVR2B,BMP,Secreted Signaling
145,BMP5,BMPR1A,BMP,Secreted Signaling
146,BMP5,ACVR2B,BMP,Secreted Signaling
147,BMP5,BMPR1A_BMPR2,BMP,Secreted Signaling
148,BMP5,BMPR1A,BMP,Secreted Signaling
149,BMP5,BMPR2,BMP,Secreted Signaling
150,BMP5,BMPR1B_ACVR2A,BMP,Secreted Signaling
151,BMP5,BMPR1B,BMP,Secreted Signaling
152,BMP5,ACVR2A,BMP,Secreted Signaling
153,BMP5,BMPR1B_ACVR2B,BMP,Secreted Signaling
154,BMP5,BMPR1B,BMP,Secreted Signaling
155,BMP5,ACVR2B,BMP,Secreted Signaling
156,BMP5,BMPR1B_BMPR2,BMP,Secreted Signaling
157,BMP5,BMPR1B,BMP,Secreted Signaling
158,BMP5,BMPR2,BMP,Secreted Signaling
159,BMP6,ACVR1_ACVR2A,BMP,Secreted Signaling
160,BMP6,ACVR1,BMP,Secreted Signaling
161,BMP6,ACVR2A,BMP,Secreted Signaling
162,BMP6,ACVR1_ACVR2B,BMP,Secreted Signaling
163,BMP6,ACVR1,BMP,Secreted Signaling
164,BMP6,ACVR2B,BMP,Secreted Signaling
165,BMP6,ACVR1_BMPR2,BMP,Secreted Signaling
166,BMP6,ACVR1,BMP,Secreted Signaling
167,BMP6,BMPR2,BMP,Secreted Signaling
168,BMP6,BMPR1A_ACVR2A,BMP,Secreted Signaling
169,BMP6,BMPR1A,BMP,Secreted Signaling
170,BMP6,ACVR2A,BMP,Secreted Signaling
171,BMP6,BMPR1A_ACVR2B,BMP,Secreted Signaling
172,BMP6,BMPR1A,BMP,Secreted Signaling
173,BMP6,ACVR2B,BMP,Secreted Signaling
174,BMP6,BMPR1A_BMPR2,BMP,Secreted Signaling
175,BMP6,BMPR1A,BMP,Secreted Signaling
176,BMP6,BMPR2,BMP,Secreted Signaling
177,BMP6,BMPR1B_ACVR2A,BMP,Secreted Signaling
178,BMP6,BMPR1B,BMP,Secreted Signaling
179,BMP6,ACVR2A,BMP,Secreted Signaling
180,BMP6,BMPR1B_ACVR2B,BMP,Secreted Signaling
181,BMP6,BMPR1B,BMP,Secreted Signaling
182,BMP6,ACVR2B,BMP,Secreted Signaling
183,BMP6,BMPR1B_BMPR2,BMP,Secreted Signaling
184,BMP6,BMPR1B,BMP,Secreted Signaling
185,BMP6,BMPR2,BMP,Secreted Signaling
186,BMP7,ACVR1_ACVR2A,BMP,Secreted Signaling
187,BMP7,ACVR1,BMP,Secreted Signaling
188,BMP7,ACVR2A,BMP,Secreted Signaling
189,BMP7,ACVR1_ACVR2B,BMP,Secreted Signaling
190,BMP7,ACVR1,BMP,Secreted Signaling
191,BMP7,ACVR2B,BMP,Secreted Signaling
192,BMP7,ACVR1_BMPR2,BMP,Secreted Signaling
193,BMP7,ACVR1,BMP,Secreted Signaling
194,BMP7,BMPR2,BMP,Secreted Signaling
195,BMP7,BMPR1A_ACVR2A,BMP,Secreted Signaling
196,BMP7,BMPR1A,BMP,Secreted Signaling
197,BMP7,ACVR2A,BMP,Secreted Signaling
198,BMP7,BMPR1A_ACVR2B,BMP,Secreted Signaling
199,BMP7,BMPR1A,BMP,Secreted Signaling
200,BMP7,ACVR2B,BMP,Secreted Signaling
201,BMP7,BMPR1A_BMPR2,BMP,Secreted Signaling
202,BMP7,BMPR1A,BMP,Secreted Signaling
203,BMP7,BMPR2,BMP,Secreted Signaling
204,BMP7,BMPR1B_ACVR2A,BMP,Secreted Signaling
205,BMP7,BMPR1B,BMP,Secreted Signaling
206,BMP7,ACVR2A,BMP,Secreted Signaling
