,from,to,pathway,database
1,aos,Egfr,EGFR signaling pathway,
2,grk,Egfr,EGFR signaling pathway,
3,Krn,Egfr,EGFR signaling pathway,
4,spi,Egfr,EGFR signaling pathway,
5,vn,Egfr,EGFR signaling pathway,
6,boss,sev,EGFR signaling pathway,
7,bnl,btl,FGFR signaling pathway,
8,dally,btl,FGFR signaling pathway,
9,pyr,btl,FGFR signaling pathway,
10,ths,btl,FGFR signaling pathway,
11,bnl,htl,FGFR signaling pathway,
12,pyr,htl,FGFR signaling pathway,
13,ths,htl,FGFR signaling pathway,
14,dpp,dally,HEDGEHOG signaling pathway,
15,hh,dally,HEDGEHOG signaling pathway,
16,upd1,dally,HEDGEHOG signaling pathway,
17,wg,dally,HEDGEHOG signaling pathway,
18,hh,dlp,HEDGEHOG signaling pathway,
19,wg,dlp,HEDGEHOG signaling pathway,
20,hh,ptc,HEDGEHOG signaling pathway,
21,hh,smo,HEDGEHOG signaling pathway,
22,ds,ft,HIPPO signaling pathway,
23,fj,ft,HIPPO signaling pathway,
24,Ilp1,InR,INSULIN signaling pathway,
25,Ilp2,InR,INSULIN signaling pathway,
26,Ilp3,InR,INSULIN signaling pathway,
27,Ilp4,InR,INSULIN signaling pathway,
28,Ilp5,InR,INSULIN signaling pathway,
29,Ilp6,InR,INSULIN signaling pathway,
30,Ilp7,InR,INSULIN signaling pathway,
31,Ilp8,InR,INSULIN signaling pathway,
32,Ilp8,Lgr3,INSULIN signaling pathway,
33,upd1,dome,JAK/STAT signaling pathway,
34,upd2,dome,JAK/STAT signaling pathway,
35,upd3,dome,JAK/STAT signaling pathway,
36,Dl,N,NOTCH signaling pathway,
37,Ser,N,NOTCH signaling pathway,
38,wry,N,NOTCH signaling pathway,
39,Akh,AkhR,other,
40,CCAP,AkhR,other,
41,Crz,AkhR,other,
42,Akh,CCAP-R,other,
43,Crz,CCAP-R,other,
44,Akh,CrzR,other,
45,Dh31,Dh31-R,other,
46,Dh44,Dh44-R1,other,
47,Dh44,Dh44-R2,other,
48,ETH,ETHR,other,
49,Gpa2,Lgr1,other,
50,Gpb5,Lgr1,other,
51,Lk,Lkr,other,
52,fog,mthl1,other,
53,Gbp1,mthl10,other,
54,Capa,PK2-R2,other,
55,ETH,PK2-R2,other,
56,RYa,RYa-R,other,
57,Dup99B,SPR,other,
58,Mip,SPR,other,
59,SP,SPR,other,
60,Trissin,TrissinR,other,
61,AstA,AstA-R1,other,
62,AstA,AstA-R2,other,
63,Capa,CapaR,other,
64,CCAP,CCAP-R,other,
65,Dsk,CCKLR-17D1,other,
66,Crz,CrzR,other,
67,FMRFa,FMRFaR,other,
68,Ms,MsR1,other,
69,Ms,MsR2,other,
70,NPF,NPFR,other,
71,Pdf,Pdfr,other,
72,Capa,PK1-R,other,
73,Hug,PK2-R1,other,
74,Hug,PK2-R2,other,
75,Proc,Proc-R,other,
76,Burs,rk,other,
77,Pburs,rk,other,
78,SIFa,SIFaR,other,
79,sNPF,sNPF-R,other,
80,NT1,Toll-6,other,
81,spz5,Toll-6,other,
82,Ephrin,Eph,other,
83,Sema1a,PlexA,other,
84,Sema2a,PlexA,other,
85,Sema2a,PlexB,other,
86,Sema5c,PlexA,other,
87,Sema1a,otk,other,
88,Wnt5,drl,other,
89,Wnt5,Drl-2,other,
90,Wnt4,fj,other,
91,ft,ds,other,
92,Cad74A,Cad74A,other,
93,CadN,CadN,other,
94,Dscam2,Dscam2,other,
95,Dscam3,Dscam3,other,
96,shg,shg,other,
97,shv,mys,other,
98,Wnt2,otk,other,
99,Wnt2,otk2,other,
100,Wnt4,otk,other,
101,Ilp8,drl,other,
102,PlexA,Gyc76C,other,
103,Nplp1,Gyc76C,other,
104,spz5,kek2,other,
105,spz5,kek5,other,
106,NT1,kek6,other,
107,spz5,kek6,other,
108,hh,boi,other,
109,hh,ihog,other,
110,Tig,if,other,
111,Tig,mys,other,
112,Sema2b,PlexB,other,
113,Tk,TkR86C,other,
114,Tk,TkR99D,other,
115,jeb,Alk,other,
116,Pvf1,Pvr,PVR RTK signaling pathway,
117,Pvf2,Pvr,PVR RTK signaling pathway,
118,Pvf3,Pvr,PVR RTK signaling pathway,
119,Actbeta,babo,TGF beta signaling pathway,
120,daw,babo,TGF beta signaling pathway,
121,dpp,babo,TGF beta signaling pathway,
122,gbb,babo,TGF beta signaling pathway,
123,myo,babo,TGF beta signaling pathway,
124,mav,babo,TGF beta signaling pathway,
125,daw,put,TGF beta signaling pathway,
126,dpp,put,TGF beta signaling pathway,
127,gbb,put,TGF beta signaling pathway,
128,scw,put,TGF beta signaling pathway,
129,dpp,sax,TGF beta signaling pathway,
130,gbb,sax,TGF beta signaling pathway,
131,scw,sax,TGF beta signaling pathway,
132,Actbeta,tkv,TGF beta signaling pathway,
133,daw,tkv,TGF beta signaling pathway,
134,dpp,tkv,TGF beta signaling pathway,
135,gbb,tkv,TGF beta signaling pathway,
136,myo,tkv,TGF beta signaling pathway,
137,scw,tkv,TGF beta signaling pathway,
138,Actbeta,put,TGF beta signaling pathway,
139,myo,wit,TGF beta signaling pathway,
140,gbb,wit,TGF beta signaling pathway,
141,myo,put,TGF beta signaling pathway,
142,mav,put,TGF beta signaling pathway,
143,mav,sax,TGF beta signaling pathway,
144,mav,tkv,TGF beta signaling pathway,
145,mav,wit,TGF beta signaling pathway,
146,daw,wit,TGF beta signaling pathway,
147,Actbeta,wit,TGF beta signaling pathway,
148,scw,wit,TGF beta signaling pathway,
149,dpp,wit,TGF beta signaling pathway,
150,egr,grnd,TNF alpha signaling pathway,
151,egr,wgn,TNF alpha signaling pathway,
152,NT1,Tl,Toll signaling pathway,
153,spz,Tl,Toll signaling pathway,
154,spz5,Tl,Toll signaling pathway,
155,NT1,Toll-7,Toll signaling pathway,
156,spz,Toll-7,Toll signaling pathway,
157,spz5,Toll-7,Toll signaling pathway,
158,trk,tor,Torso signaling pathway,
159,wg,arr,WNT signaling pathway,
160,Wnt10,arr,WNT signaling pathway,
161,Wnt2,arr,WNT signaling pathway,
162,Wnt4,arr,WNT signaling pathway,
163,Wnt5,arr,WNT signaling pathway,
164,Wnt6,arr,WNT signaling pathway,
165,dlp,dally,WNT signaling pathway,
166,dpp,dally,WNT signaling pathway,
167,hh,dally,WNT signaling pathway,
168,upd1,dally,WNT signaling pathway,
169,wg,dally,WNT signaling pathway,
170,hh,dlp,WNT signaling pathway,
171,wg,dlp,WNT signaling pathway,
172,wg,fz,WNT signaling pathway,
173,Wnt10,fz,WNT signaling pathway,
174,Wnt2,fz,WNT signaling pathway,
175,Wnt4,fz,WNT signaling pathway,
176,Wnt5,fz,WNT signaling pathway,
177,Wnt6,fz,WNT signaling pathway,
178,wg,fz2,WNT signaling pathway,
179,Wnt10,fz2,WNT signaling pathway,
180,Wnt2,fz2,WNT signaling pathway,
181,Wnt4,fz2,WNT signaling pathway,
182,Wnt5,fz2,WNT signaling pathway,
183,Wnt6,fz2,WNT signaling pathway,
184,wg,fz3,WNT signaling pathway,
185,Wnt10,fz3,WNT signaling pathway,
186,Wnt2,fz3,WNT signaling pathway,
187,Wnt4,fz3,WNT signaling pathway,
188,Wnt5,fz3,WNT signaling pathway,
189,Wnt6,fz3,WNT signaling pathway,
190,wg,fz4,WNT signaling pathway,
191,Wnt10,fz4,WNT signaling pathway,
192,Wnt2,fz4,WNT signaling pathway,
193,Wnt4,fz4,WNT signaling pathway,
194,Wnt5,fz4,WNT signaling pathway,
195,Wnt6,fz4,WNT signaling pathway,
196,wntD,fz4,WNT signaling pathway,
197,His3,Pc,ppi,ppi
198,His3,Pc,ppi,ppi
199,cora,Nrg,ppi,ppi
200,drpr,ced-6,ppi,ppi
201,Cp190,mod(mdg4),ppi,ppi
202,Cp190,mod(mdg4),ppi,ppi
203,Cp190,mod(mdg4),ppi,ppi
204,Cp190,mod(mdg4),ppi,ppi
205,Cp190,mod(mdg4),ppi,ppi
206,Cp190,mod(mdg4),ppi,ppi
207,Cp190,mod(mdg4),ppi,ppi
208,Cp190,mod(mdg4),ppi,ppi
209,Cp190,mod(mdg4),ppi,ppi
210,Cp190,mod(mdg4),ppi,ppi
211,Cp190,mod(mdg4),ppi,ppi
212,Cp190,mod(mdg4),ppi,ppi
213,mod(mdg4),mod(mdg4),ppi,ppi
214,mod(mdg4),mod(mdg4),ppi,ppi
215,mod(mdg4),mod(mdg4),ppi,ppi
216,mod(mdg4),mod(mdg4),ppi,ppi
217,mod(mdg4),mod(mdg4),ppi,ppi
218,mod(mdg4),mod(mdg4),ppi,ppi
219,mod(mdg4),mod(mdg4),ppi,ppi
220,klg,apolpp,ppi,ppi
221,Nmnat,brp,ppi,ppi
222,Nmnat,brp,ppi,ppi
223,me31B,yps,ppi,ppi
224,me31B,yps,ppi,ppi
225,me31B,yps,ppi,ppi
226,baz,Stat92E,ppi,ppi
227,baz,Stat92E,ppi,ppi
228,baz,Stat92E,ppi,ppi
229,fs(1)K10,sqd,ppi,ppi
230,gro,E(spl)m5-HLH,ppi,ppi
231,gro,E(spl)m5-HLH,ppi,ppi
232,gro,E(spl)m5-HLH,ppi,ppi
233,alpha-Cat,alpha-Cat,ppi,ppi
234,bocks,Ote,ppi,ppi
235,baz,aPKC,ppi,ppi
236,baz,aPKC,ppi,ppi
237,baz,aPKC,ppi,ppi
238,baz,aPKC,ppi,ppi
239,baz,aPKC,ppi,ppi
240,baz,aPKC,ppi,ppi
241,baz,aPKC,ppi,ppi
242,baz,aPKC,ppi,ppi
243,baz,aPKC,ppi,ppi
244,baz,aPKC,ppi,ppi
245,baz,aPKC,ppi,ppi
246,baz,aPKC,ppi,ppi
247,baz,aPKC,ppi,ppi
248,lva,alpha-Spec,ppi,ppi
249,lva,alpha-Spec,ppi,ppi
250,lva,alpha-Spec,ppi,ppi
251,Mondo,bigmax,ppi,ppi
252,swa,swa,ppi,ppi
253,swa,swa,ppi,ppi
254,swa,swa,ppi,ppi
255,swa,swa,ppi,ppi
256,swa,swa,ppi,ppi
257,swa,swa,ppi,ppi
258,cup,Pop2,ppi,ppi
259,Sik2,sav,ppi,ppi
260,rst,dock,ppi,ppi
261,sns,kirre,ppi,ppi
262,sns,kirre,ppi,ppi
263,sns,kirre,ppi,ppi
264,sns,kirre,ppi,ppi
265,sns,kirre,ppi,ppi
266,sns,kirre,ppi,ppi
267,ena,Ptp69D,ppi,ppi
268,Pur-alpha,Pur-alpha,ppi,ppi
269,Pur-alpha,Pur-alpha,ppi,ppi
270,Pur-alpha,Pur-alpha,ppi,ppi
271,cnn,Grip71,ppi,ppi
272,mei-218,mei-217,ppi,ppi
273,hh,ihog,ppi,ppi
274,hh,ihog,ppi,ppi
275,hh,ihog,ppi,ppi
276,hh,ihog,ppi,ppi
277,hh,ihog,ppi,ppi
278,hh,ihog,ppi,ppi
279,hh,ihog,ppi,ppi
280,hh,ihog,ppi,ppi
281,hh,ihog,ppi,ppi
282,hh,ihog,ppi,ppi
283,hh,ihog,ppi,ppi
284,E(spl)mgamma-HLH,sc,ppi,ppi
285,E(spl)mgamma-HLH,sc,ppi,ppi
286,E(spl)mgamma-HLH,sc,ppi,ppi
287,Grip84,Grip75,ppi,ppi
288,Grip84,Grip75,ppi,ppi
289,barr,Cap-D2,ppi,ppi
290,barr,Cap-D2,ppi,ppi
291,barr,Cap-D2,ppi,ppi
292,barr,Cap-D2,ppi,ppi
293,barr,Cap-D2,ppi,ppi
294,ERR,sima,ppi,ppi
295,ERR,sima,ppi,ppi
296,esc,Pc,ppi,ppi
297,Lar,ena,ppi,ppi
298,Lar,ena,ppi,ppi
299,Lar,ena,ppi,ppi
300,MBD-R2,nsl1,ppi,ppi
301,MBD-R2,nsl1,ppi,ppi
302,MBD-R2,nsl1,ppi,ppi
303,MBD-R2,nsl1,ppi,ppi
304,MBD-R2,nsl1,ppi,ppi
305,MBD-R2,nsl1,ppi,ppi
306,Roc1a,TER94,ppi,ppi
307,rols,zormin,ppi,ppi
308,Hmgs,Ote,ppi,ppi
309,Or22a,Orco,ppi,ppi
310,Or22a,Orco,ppi,ppi
311,Or22a,Orco,ppi,ppi
312,mys,Zasp52,ppi,ppi
313,E2f1,Cdk8,ppi,ppi
314,Nrx-1,RhoGAP100F,ppi,ppi
315,Nrx-1,RhoGAP100F,ppi,ppi
316,Nrx-1,RhoGAP100F,ppi,ppi
317,Nrx-1,RhoGAP100F,ppi,ppi
318,CycG,Brca2,ppi,ppi
319,CycG,Brca2,ppi,ppi
320,bru1,sqd,ppi,ppi
321,bru1,sqd,ppi,ppi
322,sav,Mer,ppi,ppi
323,sav,Mer,ppi,ppi
324,sav,Mer,ppi,ppi
325,Diap1,TER94,ppi,ppi
326,cnn,ball,ppi,ppi
327,Sas-4,asl,ppi,ppi
328,Sas-4,asl,ppi,ppi
329,Sas-4,asl,ppi,ppi
