,TF,target
0,Akt1,mmu-miR-21a-5p
1,Ar,H1f0
2,Ar,Mttp
3,Ar,Ncoa2
4,Ar,Nfkb1
5,Ar,Nfkbia
6,Ar,Ngfr
7,Ar,Nos2
8,Ar,Nsd1
9,Ar,Pcp2
10,Ar,Etv4
11,Ar,Pltp
12,Ar,Pou2f1
13,Ar,Acox1
14,Ar,Pou3f3
15,Ar,Pou5f1
16,Ar,Med1
17,Ar,Psmc5
18,Ar,Pthlh
19,Ar,Rara
20,Ar,Rbp2
21,Ar,Scd1
22,Ar,Slc18a3
23,Ar,Slc22a1
24,Ar,Scarb1
25,Ar,Svs6
26,Ar,Tgfbr3
27,Ar,Tgm1
28,Ar,Tgm2
29,Ar,Nkx2-1
30,Ar,Nr2c1
31,Ar,Trh
32,Ar,Ucp1
33,Ar,Ucp3
34,Ar,Tat
35,Ar,Nox1
36,Ar,Apob
37,Ar,Slc27a1
38,Ar,Mecr
39,Ar,Pdk4
40,Ar,Sh2d3c
41,Ar,Dhrs4
42,Ar,Pbsn
43,Ar,Lgals12
44,Ar,Angptl4
45,Ar,Rqcd1
46,Ar,C4a
47,Ar,Aurkaip1
48,Ar,Grip1
49,Ar,Srd5a2
50,Ar,Crisp1
51,Ar,Crisp3
52,Ar,Aip
53,Ar,Aldh1a1
54,Ar,Apoa2
55,Ar,Akr1b7
56,Ar,Avp
57,Ar,Bcl2
58,Ar,C4b
59,Ar,Car5a
60,Ar,Ctnnb1
61,Ar,Cebpb
62,Ar,Chat
63,Ar,Abcc2
64,Ar,Col1a2
65,Ar,Cryab
66,Ar,Cyp24a1
67,Ar,Cyp27b1
68,Ar,Cyp7a1
69,Ar,Fabp1
70,Ar,Acsl1
71,Ar,Fli1
72,Ar,Flii
73,Ar,Gata3
74,Ar,Gpx5
75,Ar,Hoxa1
76,Ar,Hoxa4
77,Ar,Hoxa5
78,Ar,Hoxb1
79,Ar,Hsd11b1
80,Ar,Hsp90ab1
81,Ar,Lamb1
82,Ar,Lpl
83,Ar,Mdk
84,Ar,Mmp3
85,Ar,Cited2
86,Ar,Ccr2
87,Ar,Cga
88,Ar,Fkbp5
89,Ar,Foxa1
90,Ar,Klkb1
91,Ar,Nkx3-1
92,Ar,Nr0b1
93,Ar,Psat1
94,Ar,Runx2
95,Ar,Scnn1a
96,Ar,Sox2
97,Ar,Tnf
98,Ar,rsl
99,Arnt,Gm5506
100,Arnt,Pfkfb4
101,Arnt,Nppa
102,Arnt,Eno3
103,Arnt,Epo
104,Arnt,Figf
105,Arnt,Flt1
106,Arnt,Gapdh
107,Arnt,Hk1
108,Arnt,Vegfb
109,Arnt,Vegfa
110,Arnt,Sumo1
111,Arnt,Tfrc
112,Arnt,Trf
113,Arnt,Timp1
114,Arnt,Tek
115,Arnt,Senp2
116,Arnt,Hkdc1
117,Arnt,Hk3
118,Arnt,Slc2a1
119,Arnt,Pdk1
120,Arnt,Hk2
121,Arnt,Serpine1
122,Arnt,Pgk1
123,Arnt,Pgf
124,Arnt,Hmox1
125,Arnt,Ldha
126,Arnt,Ltbr
127,Arnt,Pfkfb3
128,Arnt,Nos2
129,Arnt,Pfkl
130,Arnt,Nos3
131,Arnt,Vegfc
132,Arnt,Pfkfb1
133,Arnt,Pfkfb2
134,Arnt,LOC100042025
135,Arnt,LOC100048117
136,Arnt,Angpt1
137,Arnt,Angpt2
138,Arnt,Angpt4
139,Arnt,Aldoa
140,Arnt,Bcl2
141,Arnt,Cdkn1a
142,Arnt,Cdkn1b
143,Arnt,Edn1
144,Arnt,Egf
145,Arnt,Eno1
146,Arnt,Eno2
147,Arnt,Atxn3
148,Arnt,Cyp1a1
149,Arnt,Cyp1a2
150,Arnt,Cyp1b1
151,Arnt,E2f2
152,Arnt,Sim1
153,Arnt,Th
154,Arntl,Bhlhe40
155,Arntl,Cry1
156,Arntl,Cry2
157,Arntl,Per1
158,Arntl,Per2
159,Arntl,Per3
160,Arntl,Rora
161,Arntl,Rorc
162,Arntl,Nr1d1
163,Arntl,Rorb
164,Arntl,Bhlhe41
165,Arntl,Ctnnb1
166,Arntl,Cxcl5
167,Arntl,Dbp
168,Arntl,Maoa
169,Arntl,Nfe2l2
170,Arntl,Tcf3
171,Arntl,Vwf
172,Arntl,Wnt10a
173,Atf1,Tgfb2
174,Atf1,Eef2
175,Atf1,Fos
176,Atf1,Hspa5
177,Atf1,Nr4a1
178,Atf1,Nudt1
179,Atf1,Pcna
180,Atf1,Pdha2
181,Atf1,Ptgs2
182,Atf1,Rb1
183,Atf1,Sfrp4
184,Atf1,Slc20a1
185,Atf1,Stat3
186,Atf1,Tcra
187,Atf1,Tgfbr2
188,Atf1,Myh10
189,Atf1,Osgep
190,Atf1,Yy1
191,Atf1,Thbs1
192,Atf1,Tgm1
193,Atf1,Apex1
194,Atf1,Brca2
195,Atf1,Ccnd3
196,Atf1,Cebpb
197,Atf1,Cebpd
198,Atf2,Npy
199,Atf2,Bdnf
200,Atf2,Bcl2
201,Atf2,Arc
202,Atf2,Pparg
203,Atf2,Pdyn
204,Atf2,Pcna
205,Atf2,Mcl1
206,Atf2,Fosb
207,Atf2,Fos
208,Atf2,Crh
209,Atf2,Ccnd1
210,Atf2,Cebpa
211,Atf2,Entpd1
212,Atf2,Fgf21
213,Atf2,Gabrb3
214,Atf2,Il23a
215,Atf2,Ins2
216,Atf2,Per1
217,Atf2,Rela
218,Atf2,Rhob
219,Atf2,Serpinb5
220,Atf2,Sox9
221,Atf2,Tnf
222,Atf2,Ucp1
223,Atf4,Bdnf
224,Atf4,Npy
225,Atf4,Arc
226,Atf4,Bcl2
227,Atf4,Crh
228,Atf4,Ddit3
229,Atf4,Fos
230,Atf4,Fosb
231,Atf4,Mcl1
232,Atf4,Pcna
233,Atf4,Pdyn
234,Atf4,Bglap3
235,Atf4,Cdkn1a
236,Atf4,Cdkn1b
237,Atf4,Ddr2
238,Atf4,Fgf15
239,Atf4,Fgf2
240,Atf4,Hspa5
241,Atf4,Ihh
242,Atf4,Il6
243,Atf4,Mcm7
244,Atf4,Mir106b
245,Atf4,Sphk2
246,Atf4,Trib3
247,Atf6b,Bdnf
248,Atf6b,Crh
249,Atf6b,Fos
250,Atf6b,Fosb
251,Atf6b,Bcl2
252,Atf6b,Pdyn
253,Atf6b,Pcna
254,Atf6b,Mcl1
255,Atf6b,Npy
256,Atf6b,Arc
257,Bbc3,Trp53
258,Bcl3,Nfkb1
259,Bcl3,Tnf
260,Bcl3,Psd
261,Bcl3,Ccnd1
262,Bcl3,Ctsl
263,Bcl3,Cxcl10
264,Bcl3,Fbxo32
265,Bcl3,Ifng
266,Bcl3,Il23a
267,Bcl3,Nfkb2
268,Bcl3,Nos1
269,Bcl3,Runx1
270,Bcl3,Tnfaip3
271,Bcl3,Tnfrsf12a
272,Bcl3,Trim63
273,Bcl3,Ubc
274,Bcl6,Slc9a1
275,Bcl6,Batf
276,Bcl6,Bcl6
277,Bcl6,Cdkn1a
278,Bcl6,Cdkn1b
279,Bcl6,Cdkn2b
280,Bcl6,Csf1r
281,Bcl6,Gadd45a
282,Bcl6,Gata3
283,Bcl6,Hdac7
284,Bcl6,Ifng
285,Bcl6,Il17a
286,Bcl6,Il9
287,Bcl6,Mir21a
288,Bcl6,Myc
289,Bcl6,Prdm1
290,Bcl6,Rorc
291,Bcl6,Socs2
292,Bcl6,Tbx21
293,Brca1,Rad51
294,Brca1,Mad2l1
295,Brca1,Xrcc2
296,Brca1,Gadd45a
297,Brca1,Pou2f1
298,Brca1,Akt1
299,Brca1,Cdkn1a
300,Brca1,Hmga2
301,Brca1,Mdm2
302,Brca1,Sirt1
303,Brca1,Tpt1
304,Cebpa,Slc2a4
305,Cebpa,Adipoq
306,Cebpa,Adrb3
307,Cebpa,Afp
308,Cebpa,Alb
